Type,Date,Price,Position_Size,Capital,Trailing_Stop,ATR,Profit,Exit_Reason
Buy,2022-07-11 13:00:00,137.437,1962.9642804453285,134891.96090578233,133.31389000000001,0.2604130900649668,,
Sell,2022-07-18 10:00:00,138.21,,136409.33229456656,,,1517.3713887842314,Short MA Crossed Below Medium MA
Buy,2022-08-23 15:00:00,136.365,2000.6502004849713,136409.33229456656,132.27405000000002,0.3336062026573652,,
Sell,2022-08-23 23:00:00,136.739,,137157.57546954794,,,748.2431749813697,Short MA Crossed Below Medium MA
Buy,2022-08-28 21:00:00,137.588,1993.7432838553937,137157.57546954794,133.46035999999998,0.2700334928240616,,
Sell,2022-09-09 09:00:00,142.003,,145959.95206776948,,,8802.376598221546,Short MA Crossed Below Medium MA
Buy,2022-09-13 16:00:00,144.302,2022.978920150372,145959.95206776948,139.97294,0.43159419328117943,,
Sell,2022-09-14 07:00:00,143.309,,143951.13400006018,,,-2008.8180677093094,Drawdown Protection (Triggered Trading Halt)
Buy,2022-09-20 16:00:00,143.598,2004.9183693374582,143951.13400006018,139.29006,0.19420641921951876,,
Sell,2022-09-22 08:00:00,142.077,,140901.65316029786,,,-3049.480839762304,Excessive Volatility (Triggered Trading Halt)
Buy,2022-09-28 17:00:00,144.105,1955.5414893348304,140901.65316029786,139.78185,0.26017373972750296,,
Sell,2022-09-28 18:00:00,143.955,,140608.32193689767,,,-293.3312234001801,Drawdown Protection (Triggered Trading Halt)
Buy,2022-10-03 09:00:00,145.134,1937.6344886366762,140608.32193689767,140.77998,0.20212101330845972,,
Sell,2022-10-04 17:00:00,144.164,,138728.81648292008,,,-1879.5054539775738,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2022-10-07 18:00:00,145.353,1908.8538452308528,138728.81648292008,140.99241,0.1658170745781491,,
Sell,2022-10-21 14:00:00,150.084,,147759.60402470722,,,9030.787541787155,Excessive Volatility
Buy,2022-10-31 10:00:00,148.616,1988.4750501252518,147759.60402470722,144.15752,0.2890603750802537,,
Sell,2022-11-02 06:00:00,147.425,,145391.33024000804,,,-2368.27378469918,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-02-13 14:00:00,132.568,2193.4604163902004,145391.33024000804,128.59096,0.2973008087319995,,
Sell,2023-02-20 15:00:00,134.036,,148611.33013126883,,,3219.9998912607907,Short MA Crossed Below Medium MA
Buy,2023-02-21 18:00:00,134.886,2203.510077120959,148611.33013126883,130.83942,0.21973192306663436,,
Sell,2023-02-24 04:00:00,134.66,,148113.3368538395,,,-497.99327742933474,Short MA Crossed Below Medium MA (Triggered Trading Halt)
Buy,2023-02-27 04:00:00,136.306,2173.247499799561,148113.3368538395,132.21682,0.23891086888778418,,
